ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes;
dried hot red pepper flakes;0,65;379;ingredient;PEPPER;;;
pitted brine-cured black olive;0,64;3015;ingredient;OLIVES;;;
package dry yeast;3,29;;ingredient;YEAST DRIED*;;;
frozen cubed hash brown potato;0,24;555;ingredient;POTATO;;;
fresh mussel;0,46;1856;ingredient;MUSSELS;;;
grated unsweetened coconut;1,07;1971;ingredient;COCONUT (I);;;
broccoli raab;1,18;336;typology;VEGETABLES;;;
laurel;0,84;8280;typology;SPICIES;;;
all purpose Greek seasoning;0,84;8280;typology;SPICIES;;;
large bone in chicken breast;2,82;3330;ingredient;CHICKEN MEAT WITH BONE;;;
instant dried yeast;3,29;;ingredient;YEAST DRIED*;;;
chile pepper sauce;0,65;379;ingredient;PEPPER;;;
cos lettuce;0,41;237;ingredient;LETTUCE;;;
large flat bread;0,86;667;ingredient;BREAD;;;
mushroom slice;2,06;;ingredient;MUSHROOM*;;;
masaman curry paste;0,84;8280;typology;SPICIES;;;
pequin pepper;0,65;379;ingredient;PEPPER;;;
dried split pea;0,45;1979;ingredient;PEA;;;
unbleached white bread flour;0,87;1889,5;typology;GRAIN FLOUR;;;
stone ground cornmeal;0,87;1167;ingredient;MAIZE FLOUR & MEAL;;;
package peach gelatin;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
sliced peeled ripe peaches;0,39;910;ingredient;PEACH;;;
frozen leaf spinach;0,81;834;ingredient;SPINACH (F);;;
recaito;2,72;2174;typology;PESTO;;;
package frozen sweet plantain;0,32;1602;ingredient;PLANTAIN;;;%
hot curry powder;0,84;8280;typology;SPICIES;;;
dried lemon grass;0,34;642;ingredient;LEMON;;;
dried ginger powder;0,84;1657;ingredient;GINGER;;;
plain nonfat Greek yogurt;2,55;1540;typology;YOGURT;;;
mussamun curry paste;0,84;8280;typology;SPICIES;;;
beef shoulder;17,96;10943;ingredient;BEEF MEAT WITH BONE*;;;
finely grated lemon;0,34;642;ingredient;LEMON;;;
finely grated orange;0,3;654;ingredient;ORANGE;;;
green onion stem;0,22;290;ingredient;ONION;;;
prepared hot mustard;1,76;;ingredient;Mustard;https://livelca.com/products/mustard_7eb333ac-568e-4de9-ae04-0a4feb790282;;
mild curry powder;0,84;8280;typology;SPICIES;;;
frankfurters;5,99;6177;ingredient;SAUSAGES;;;
whole onion;0,22;290;ingredient;ONION;;;
dry pepper;0,65;379;ingredient;PEPPER;;;
chopped artichoke heart;0,33;818;ingredient;ARTICHOKE;;;
korma curry paste;0,84;8280;typology;SPICIES;;;
Boca meatless ground burger;2,27;1053;ingredient;SOY BURGER;;;
preserved lemon peel;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;
top round steak;25,75;15139;ingredient;BEEF BONE FREE MEAT*;;;
risoni pasta;1,21;1508;ingredient;PASTA*;;;
red Thai pepper;0,65;379;ingredient;PEPPER;;;
carnation 2% evaporated milk;1,44;1599;typology;ANIMAL MILK;;;
short pasta;1,21;1508;ingredient;PASTA*;;;
corn kernels;0,57;1618;typology;GRAINS;;;
dried anise;0,84;8280;ingredient;ANISE;;;
firm silken tofu;2,27;1724;ingredient;TOFU;;;
umeboshi;2,15;748;typology;FRUIT;;;
asian fish sauce;4,99;2313,5;ingredient;FISH MIXED;;;
mung bean sprouts;0,52;516;ingredient;BEAN (fresh);;;
shredded mint leaf;0,84;288;ingredient;PEPPERMINT;;;
dry roasted salted peanuts;0,83;2782;ingredient;PEANUT;;;
red table wine;0,87;524;ingredient;WINE RED;;;
piece ginger;0,84;1657;ingredient;GINGER;;;
hot green pepper;0,84;8280;typology;SPICIES;;;
white fish fillet;5,19;2313,5;typology;FISH;;;
pork leg;7,95;6177;ingredient;PORK HAM;;;
sambal oelek chili paste;0,84;8280;typology;SPICIES;;;
ground chili paste;0,84;8280;typology;SPICIES;;;
hot yellow pepper;0,84;8280;typology;SPICIES;;;
asian mixed vegetable;0,81;339;ingredient;MIXED VEGETABLES (F);;;
baby asparagus;0,83;2150;ingredient;ASPARAGUS;;;
mixed bean;0,43;5053;ingredient;BEAN;;;
aji amarillo chili pepper;0,84;8280;typology;SPICIES;;;
French fry;0,24;555;ingredient;POTATO;;;
yellow lentil;0,52;5874;ingredient;LENTIL;;;
turkey cutlet;3,88;4325;typology;POULTRY BONE FREE MEAT;;;
jalape�o chili;0,84;8280;typology;SPICIES;;;
minced peeled fresh ginger;0,84;1657;ingredient;GINGER;;;
Mrs Dashs extra spicy seasoning;0,65;379;ingredient;PEPPER;;;
baby cucumber;0,27;353;ingredient;CUCUMBER;;;
green coriander;0,84;8280;ingredient;CORIANDER;;;
chopped canned chipotle chile in adobo;1,48;806,6;typology;VEGETABLES CANNED;;;
small apple;0,81;6847;ingredient;APPLES;;;
diced ham;7,95;6177;ingredient;PORK HAM;;;
fermented black bean;0,43;5053;ingredient;BEAN;;;
red Thai chile;0,84;8280;typology;SPICIES;;;
fried shallot;0,25;272;ingredient;SHALLOT;;;
hungarian wax chile;0,65;379;ingredient;PEPPER;;;
ground mixed peppercorn;0,65;379;ingredient;PEPPER;;;
chopped green olive;0,64;3015;ingredient;OLIVES;;;
fenugreek leaf;1,18;336;typology;VEGETABLES;;;
rabe;1,18;336;typology;VEGETABLES;;;
gem lettuce;0,41;237;ingredient;LETTUCE;;;
baby lettuce;0,41;237;ingredient;LETTUCE;;;
submarine bun;0,86;901,8;typology;BREAD;;;
chicken feet;2,82;3330;ingredient;CHICKEN MEAT WITH BONE;;;
slivered green onion;0,22;290;ingredient;ONION;;;
cabbage kimchi;1,18;336;typology;VEGETABLES;;;
plum wine vinegar;0,32;2180;ingredient;PLUM;;;
mongolian fire oil;2,11;6792;typology;OIL;;;
candle nut;1,11;11264;typology;NUTS;;;
sour apple schnapps;2,86;1140;ingredient;APPLE JUICE (I);;;
sour apple hard candy;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;
nonfat;5,04;;ingredient;CHICKEN BROTH;https://apps.carboncloud.com/climatehub/product-reports/072700102278/USA;The original recipe refers to non fat broth;
pina colada concentrate;2,86;1019;typology;FRUIT JUICE;;;
red chilli;0,84;8280;typology;SPICIES;;;
raspberry-flavored white wine vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;
raspberry-cranberry juice;2,86;1019;ingredient;CRANBERRY JUICE (I);;;
pink lemonade;0,34;642;ingredient;LEMON;;;
chile piquin powder;0,84;8280;typology;SPICIES;;;
broccoli slaw;0,57;336;ingredient;BROCCOLI;;;
mint simple syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
orange essence;0,3;654;ingredient;ORANGE;;;
crushed dry red pepper;0,84;8280;typology;SPICIES;;;
duck confit;3,88;4325;ingredient;DUCK MEAT BONE FREE*;;;
mixed salad greens;0,41;237;ingredient;LETTUCE;;;
mixed lettuce green;0,41;237;ingredient;LETTUCE;;;
ground dry mustard;1,76;;ingredient;Mustard;https://livelca.com/products/mustard_7eb333ac-568e-4de9-ae04-0a4feb790282;;
soft tofu;2,27;1724;ingredient;TOFU;;;
pear vodka;2,04;;ingredient;Vodka;https://livelca.com/products/vodka_ebf808cc-3bd7-4200-8c1a-a70f7a9b700d;Vodka used as proxy for every kind of vodka;
sweet dark soy sauce;1,46;613;ingredient;SOY SAUCE;;;
blood orange slice;0,3;654;ingredient;ORANGE;;;
mango yogurt;2,55;1540;typology;YOGURT;;;
vanilla ice milk;4,3;1599;typology;ICE CREAM;;;
fresh soft herb;0,26;;ingredient;Herbs, open field, fresh;https://apps.carboncloud.com/climatehub/product-reports/id/482093060569;;
sprig fresh coriander;0,84;8280;ingredient;CORIANDER;;;
chicken carcass;2,82;3330;ingredient;CHICKEN MEAT WITH BONE;;;
pear liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer;
splash lemon juice;0,34;642;ingredient;LEMON;;;
apricot yoghurt;2,55;1540;typology;YOGURT;;;
uncooked instant brown rice;2,19;1597;ingredient;RICE*;;;
chopped yellow sweet pepper;0,65;379;ingredient;PEPPER;;;
chopped sweet green pepper;0,65;379;ingredient;PEPPER;;;
mixed beans;0,43;5053;ingredient;BEAN;;;
psyllium husk;0,88;3087,5;typology;SEEDS;;;
virgin coconut oil;2,11;4490;ingredient;COCONUT OIL;;;
gluten rice ball;0,57;2230;ingredient;RICE GROATS;;;
wedge fresh pineapple;0,55;255;ingredient;PINEAPPLE (I);;;
soybean flour;1,32;2523;ingredient;SOYBEAN FLOUR;;;
medium yellow sweet pepper;0,65;379;ingredient;PEPPER;;;
orange-infused vodka;2,04;;ingredient;Vodka;https://livelca.com/products/vodka_ebf808cc-3bd7-4200-8c1a-a70f7a9b700d;Vodka used as proxy for every kind of vodka;
pignoli;4,19;;ingredient;PINE NUTS;https://apps.carboncloud.com/climatehub/product-reports/034952148596/USA;;
uncooked MINUTE White Rice;2,19;1597;ingredient;RICE*;;;
whole walnut;2,06;11264;ingredient;WALNUT;;;
fat-free refried bean;0,78;555,5;typology;LEGUMES CANNED;;;
lemon twist;0,34;642;ingredient;LEMON;;;
pork shank;3,44;5798;ingredient;PORK CUTS WITH BONE;;;
peach passionfruit tea;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;
zaatar spice mix;4,3;1599;typology;ICE CREAM;;;
honey mustard dressing;1,76;;ingredient;Mustard;https://livelca.com/products/mustard_7eb333ac-568e-4de9-ae04-0a4feb790282;;
petite diced tomatoes;1,47;713;ingredient;TOMATO CHOPPED;;;
petite diced tomatoes with jalapenos;1,48;806,6;typology;VEGETABLES CANNED;;;
fish bone;5,19;2313,5;typology;FISH;;;
dried lemon;0,34;642;ingredient;LEMON;;;
fresh grated coconut;1,07;1971;ingredient;COCONUT (I);;;
cranberry-blackberry juice;2,86;1019;ingredient;CRANBERRY JUICE (I);;;
cherry vodka;2,04;;ingredient;Vodka;https://livelca.com/products/vodka_ebf808cc-3bd7-4200-8c1a-a70f7a9b700d;Vodka used as proxy for every kind of vodka;
protein shake mix;5,8;;ingredient;Whey protein, 80% protein;https://apps.carboncloud.com/climatehub/product-reports/id/5275940505;;
jalapeno powder;0,65;379;ingredient;PEPPER;;;
skinless chicken leg;2,82;3330;ingredient;CHICKEN MEAT WITH BONE;;;
swede turnip;0,25;195;ingredient;TURNIP;;;
strawberry schnapps;0,61;413;ingredient;STRAWBERRY;;;
champagne or rose wine;0,66;524;typology;WINE;;;
seedless grapes;0,31;608;ingredient;GRAPES;;;
italian sweet pepper;0,65;379;ingredient;PEPPER;;;
fresh snow peas;0,52;555,5;ingredient;GREEN BEAN (fresh);;;
Turkish bread;0,86;667;ingredient;BREAD;;;
part-baked breadstick;0,86;667;ingredient;BREAD;;;
black eyed pea;0,45;1979;ingredient;PEA;;;
dried chili pepper;0,84;8280;typology;SPICIES;;;
jalepeno;0,65;379;ingredient;PEPPER;;;
diced avocado;0,54;1805;ingredient;AVOCADO;;;
medium radish;0,25;272;ingredient;RADISH;;;
lemon lime and bitters soft drink;0,34;642;ingredient;LEMON;;;
jamaica rum;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;
small green chili pepper;0,84;8280;typology;SPICIES;;;
azuki bean;1,32;2523;ingredient;AZUKI BEAN FLOUR;;;
sliced orange peel;0,3;654;ingredient;ORANGE;;;
szechwan;0,84;8280;typology;SPICIES;;;
portuguese chourice sausage;5,99;6177;ingredient;SAUSAGES;;;
canned chopped tomato;1,47;713;ingredient;TOMATO CHOPPED;;;
peach puree;0,39;910;ingredient;PEACH;;;
barley miso;0,48;1423;ingredient;BARLEY;;;
sweetened lemon juice;0,34;642;ingredient;LEMON;;;
diet soda;1,35;;ingredient;Carbonated soft drink, aluminium can;https://apps.carboncloud.com/climatehub/product-reports/id/332704005785;Carbonated soft drink, aluminium can used as proxy for every carbonated soft drink;
crushed hot red pepper flake;0,65;379;ingredient;PEPPER;;;
container frozen lemon juice;2,86;1019;typology;FRUIT JUICE;;;
fermented soybean paste;1,46;572;ingredient;SOY PASTE;;;
lillet blanc;0,66;524;typology;WINE;;;
hard cinnamon candy;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;
chipotle chili in adobo seasoning;0,84;8280;typology;SPICIES;;;
white grape juice;2,86;1019;typology;FRUIT JUICE;;;
mixed spring green;1,18;336;typology;VEGETABLES;;;
fresh shiitake mushroom;2,06;;ingredient;MUSHROOM*;;;
fresh Thai red chili pepper;0,84;8280;typology;SPICIES;;;
hot steamed rice;2,19;1597;ingredient;RICE*;;;
vegeta seasoning;0,84;8280;typology;SPICIES;;;
cinnamon vodka;2,04;;ingredient;Vodka;https://livelca.com/products/vodka_ebf808cc-3bd7-4200-8c1a-a70f7a9b700d;Vodka used as proxy for every kind of vodka;
lemon thyme;0,34;642;ingredient;LEMON;;;
frozen lemon juice;0,34;642;ingredient;LEMON;;;
kool aid powdered drink mix;10,8;;ingredient;KOOL-AID, SINGLES, DRINK MIX, ORANGE, ORANGE;https://apps.carboncloud.com/climatehub/product-reports/id/1089689554363;;
orange kool-aid;10,8;;ingredient;KOOL-AID, SINGLES, DRINK MIX, ORANGE, ORANGE;https://apps.carboncloud.com/climatehub/product-reports/id/1089689554363;;
large pink grapefruit;2,86;675;ingredient;GRAPEFRUIT JUICE;;;
bacardi coconut rum;4,63;;ingredient;Chairmans Reserve Rum;https://apps.carboncloud.com/climatehub/product-reports/786992000456/SWE;Chairmans Reserve Rum used as proxy for every rum;
fresh lemon peel;0,34;642;ingredient;LEMON;;;
cooked navy bean;0,43;5053;ingredient;BEAN;;;
glutinous rice;2,19;1597;ingredient;RICE*;;;
kim chee;0,84;8280;typology;SPICIES;;;
additional oil;2,11;6792;typology;OIL;;;
milo;27,1;;ingredient;Poudre cacaot�e ou au chocolat sucr�e pour boisson, enrichie en vitamines et min�raux;https://agribalyse.ademe.fr/app/aliments/18167;Milo is similar to nesquick, open food facts uses this agribalyse ingredient as reference for ultra processed chocolate powder;
grape wine;0,31;608;ingredient;GRAPES;;;
indian curry paste;0,84;8280;typology;SPICIES;;;
Squirt soda;1,35;;ingredient;Carbonated soft drink, aluminium can;https://apps.carboncloud.com/climatehub/product-reports/id/332704005785;Carbonated soft drink, aluminium can used as proxy for every carbonated soft drink;
ground green peppercorn;0,84;8280;typology;SPICIES;;;
raspberry drink;2,86;1019;ingredient;STRAWBERRY JUICE (I);;;
cherry drink;2,86;1019;typology;FRUIT JUICE;;;
mango-peach tea bag;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;
bottle dry white wine;0,66;524;ingredient;WINE WHITE;;;
rioja wine;0,87;524;ingredient;WINE RED;;;
bottle rose wine;0,66;524;typology;WINE;;;
lemon-lime flavored soda;1,35;;ingredient;Carbonated soft drink, aluminium can;https://apps.carboncloud.com/climatehub/product-reports/id/332704005785;Carbonated soft drink, aluminium can used as proxy for every carbonated soft drink;
roasted cashew;1,38;11264;ingredient;CASHEW NUT;;;
red pasta sauce;1,19;151,3;typology;TOMATO SAUCE;;;
pork back rib;3,44;5798;ingredient;PORK CUTS WITH BONE;;;
Italian chicken sausage;5,99;6177;ingredient;SAUSAGES;;;
chopped pork;3,44;5798;ingredient;PORK CUTS WITH BONE;;;
alize cranberry fruit cognac;4,63;;ingredient;Merlet XO Cognac;https://apps.carboncloud.com/climatehub/product-reports/3443210000892/SWE;;
cabarnet wine;0,87;524;ingredient;WINE RED;;;
mandarina;0,45;748;ingredient;MANDARIN;;;
sweet potato chip;0,27;383;ingredient;SWEET POTATO;;;
Chinese cabbage;1,18;336;typology;VEGETABLES;;;
lemon gin;0,34;642;ingredient;LEMON;;;
7-Up soda or Sprite;1,35;;ingredient;Carbonated soft drink, aluminium can;https://apps.carboncloud.com/climatehub/product-reports/id/332704005785;Carbonated soft drink, aluminium can used as proxy for every carbonated soft drink;
mailbu coconut rum;4,63;;ingredient;Chairmans Reserve Rum;https://apps.carboncloud.com/climatehub/product-reports/786992000456/SWE;Chairmans Reserve Rum used as proxy for every rum;
vegetable margarine;1,39;1324;ingredient;MARGARINE*;;;
roquefort blue cheese;9,59;5060;ingredient;CHEESE BLUE-VEINED;;;
pineapple leaves;0,55;255;ingredient;PINEAPPLE (I);;;
bottled minced fresh ginger;0,84;1657;ingredient;GINGER;;;
sugar-free lemon Jell-O powder;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
cool whip fat-free whipped topping;2,42;;ingredient;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT used as proxy for every whipped topping (panna montata);
large green bell pepper;0,65;379;ingredient;PEPPER;;;
coconut Malibu rum;4,63;;ingredient;Chairmans Reserve Rum;https://apps.carboncloud.com/climatehub/product-reports/786992000456/SWE;Chairmans Reserve Rum used as proxy for every rum;
prepared Chinese mustard;1,76;;ingredient;Mustard;https://livelca.com/products/mustard_7eb333ac-568e-4de9-ae04-0a4feb790282;;
fresh cooked asparagus;0,83;2150;ingredient;ASPARAGUS;;;
soybean paste;1,46;572;ingredient;SOY PASTE;;;
tempura flour;0,87;1849;ingredient;WHEAT FLOUR;;;
raspberry Kool-Aid;10,8;;ingredient;KOOL-AID, SINGLES, DRINK MIX, ORANGE, ORANGE;https://apps.carboncloud.com/climatehub/product-reports/id/1089689554363;;
textured soy protein granule;2,27;1724,5;typology;VEGETAL PROTEINS;;;
drained water chestnut;1,11;2750;ingredient;CHESTNUT;;;
chopped fresh red chile;0,84;8280;typology;SPICIES;;;
cold cooked white rice;2,19;1597;ingredient;RICE*;;;
scallions;1,18;336;typology;VEGETABLES;;;
sliced frozen rhubarb;1,18;748;typology;FRUIT FROZEN;;;
dry tapioca;0,27;1610;ingredient;DRIED CASSAVA;;;
small dried hot red chili pepper;0,84;8280;typology;SPICIES;;;
sparkling non-alcoholic apple cider;2,86;1140;ingredient;APPLE JUICE (I);;;
whole wheat pita bread;0,86;901,8;typology;BREAD;;;
bottle white wine;0,66;524;ingredient;WINE WHITE;;;
small unpeeled apple;0,25;622;ingredient;APPLE;;;
Tostitos Scoop;1,35;1423,3;typology;CRISPBREAD;;;
medium scallops;5,67;1856;typology;SHELLFISH;;;
citrus-infused vodka;2,04;;ingredient;Vodka;https://livelca.com/products/vodka_ebf808cc-3bd7-4200-8c1a-a70f7a9b700d;Vodka used as proxy for every kind of vodka;
blackberry herbal tea bag;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;
pureed mango;0,31;1855;ingredient;MANGO;;;
malibu pineapple rum;4,63;;ingredient;Chairmans Reserve Rum;https://apps.carboncloud.com/climatehub/product-reports/786992000456/SWE;Chairmans Reserve Rum used as proxy for every rum;
green ginger wine;0,84;1657;ingredient;GINGER;;;
cooked red kidney bean;0,78;555,5;typology;LEGUMES CANNED;;;
finely chopped English cucumber;0,27;353;ingredient;CUCUMBER;;;
Chinese chili sauce;0,84;8280;typology;SPICIES;;;
ground sesame seed;0,88;9371;ingredient;SESAM SEED;;;
Rotel diced tomato;1,48;806,6;typology;VEGETABLES CANNED;;;
package McCormick mild chili seasoning;0,84;8280;typology;SPICIES;;;
super firm tofu;2,27;1724;ingredient;TOFU;;;
hoagie rolls;0,86;901,8;typology;BREAD;;;
jerk sauce;0,84;8280;typology;SPICIES;;;
diced chili-ready tomato;1,48;806,6;typology;VEGETABLES CANNED;;;
blackberry brandy;8,22;;ingredient;Brandy;https://livelca.com/products/brandy_30e6d270-02c0-4de2-8777-622ea7e107a7;Brandy used as proxy for every brandy;
roma tomatoes;0,45;41;ingredient;TOMATO;;;
frozen green beans;2,26;555,5;ingredient;GREEN BEANS (F);;;
romano bean;0,43;5053;ingredient;BEAN;;;
instant tea powder;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;
whole fresh cranberry;0,64;276;ingredient;CRANBERRY;;;
chopped stewed tomato;1,47;713;ingredient;TOMATO CHOPPED;;;
large bell pepper;0,65;379;ingredient;PEPPER;;;
canned diced green chile;1,48;806,6;typology;VEGETABLES CANNED;;;
great northern beans;0,78;555,5;ingredient;BEANS IN CAN;;;
instant tapioca pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
fresh grape tomato;0,45;41;ingredient;TOMATO;;;
white frosting;1,14;;ingredient;WHITE FROSTING;https://apps.carboncloud.com/climatehub/product-reports/070980322966/USA;WHITE FROSTING used as proxy for every frosing;
Chinese egg noodle;3,15;4637;ingredient;EGG PASTA*;;;
probiotic yogurt;2,55;1540;ingredient;YOGURT FLAVORED;;;
rockfish;5,19;2313,5;ingredient;ROCK FISH;;;
flavored rice vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;
Chinese bellflower;1,18;336;typology;VEGETABLES;;;
sheet jelly;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
walla walla onion;0,22;290;ingredient;ONION;;;
fresh jalapeno pepper;0,84;8280;typology;SPICIES;;;
unseasoned rice vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;
lemon jelly;0,34;642;ingredient;LEMON;;;
cinnamon apple;0,81;6847;ingredient;APPLES;;;
broccoli carrot cauliflower mix;1,18;336;typology;VEGETABLES;;;
baked tofu;2,27;1724;ingredient;TOFU;;;
whole carrot;0,24;195;ingredient;CARROT;;;
packet sazon goya with coriander and annatto;0,84;8280;ingredient;CORIANDER;;;
whole boneless skinless chicken breast;3,68;3960;ingredient;CHICKEN BONE FREE MEAT;;;
cut green bean;0,52;555,5;ingredient;GREEN BEAN (fresh);;;
chocolate almond bark;4,12;;ingredient;ALMOND COVERED WITH CHOCOLATE;;;
cloves crushed garlic;0,25;589;ingredient;GARLIC;;;
baby tomato;0,45;41;ingredient;TOMATO;;;
ripe mango;0,31;1855;ingredient;MANGO;;;
pineapple bit;0,55;255;ingredient;PINEAPPLE (I);;;
cooked fruit;2,15;748;typology;FRUIT;;;
dried prune;0,81;2636,5;typology;DRIED FRUIT;;;
golden seedless raisin;0,81;2636,5;ingredient;RAISIN;;;
dried peach;0,81;2636,5;typology;DRIED FRUIT;;;
medium lemon slice;0,34;642;ingredient;LEMON;;;
medium lime slice;0,34;642;ingredient;LIME;;;
cranberry herbal tea bag;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;
orange chunk;0,3;654;ingredient;ORANGE;;;
piece crystallized ginger;0,84;1657;ingredient;GINGER;;;
gallon apple cider;2,86;1140;ingredient;APPLE JUICE (I);;;
cut yellow beans;0,43;5053;ingredient;BEAN;;;
peach wine;0,39;910;ingredient;PEACH;;;
sweet marsala wine;0,66;524;typology;WINE;;;
chili mix;0,84;8280;typology;SPICIES;;;
milk chocolate melt;3,16;20717;ingredient;MILK CHOCOLATE;;;
very cherry;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;
wizzys smokin your favorite barbecue rub;0,84;8280;typology;SPICIES;;;
package macaroni;1,21;1508;ingredient;PASTA*;;;
daiquiri mix;2,86;1019;typology;FRUIT JUICE;;;
cranberry liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer;
COOL WHIP Whipped Topping;2,42;;ingredient;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT used as proxy for every whipped topping (panna montata);
chilli paste;0,84;8280;typology;SPICIES;;;
red rice vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;
aleppo pepper;0,65;379;ingredient;PEPPER;;;
strawberry jelly;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
brownie bar dough;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;
pumpkin spice syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
white chocolate sauce;3,16;20717;typology;CHOCOLATE;;;
malted instant chocolate drink mix;3,16;20717;typology;CHOCOLATE;;;
kimchee;1,18;336;typology;VEGETABLES;;;
beefsteak;17,96;10943;ingredient;BEEF MEAT WITH BONE*;;;
pilchard;5,19;2313,5;ingredient;PILCHARD;;;
bottle dark beer;0,69;155;typology;BEER;;;
env dream whipped topping;2,42;;ingredient;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT used as proxy for every whipped topping (panna montata);
chocolate instant pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
lime pepper;0,84;8280;typology;SPICIES;;;
rose syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
mashed cooked pumpkin;0,24;336;ingredient;PUMPKIN;;;
Miracle Whip light;1,46;572;ingredient;MAYONNAISE;;;
soul food seasoning;0,84;8280;typology;SPICIES;;;
slices toasted bread;0,86;901,8;typology;BREAD;;;
baby squash;0,33;336;ingredient;SQUASH;;;
hot sesame chili oil;0,84;8280;typology;SPICIES;;;
chicken soup powder;36,8;;ingredient;BOUILLON CUBES, CHICKEN;https://apps.carboncloud.com/climatehub/product-reports/032251100482/USA;;
goat stew meat;20,96;;ingredient;Goat;https://livelca.com/products/goat_1a8469e2-12bd-4637-bb43-80249e256647;;
puy lentil;0,52;5874;ingredient;LENTIL;;;
buckwheat flake;0,57;1618;typology;GRAINS;;;
Greek seasoning;0,84;8280;typology;SPICIES;;;
blueberry-flavored syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
quart pineapple sherbet;4,3;1599;typology;ICE CREAM;;;
macapuno;2,15;748;typology;FRUIT;;;
cappuccino mix;0,55;960;ingredient;COFFEE SOLUBLE POWDER (L);;;
delicata squash;0,24;336;ingredient;PUMPKIN;;;
chamomile tea bag;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;
avocado oil;2,11;6792;typology;OIL;;;
sugar pumpkin;0,78;1294,5;typology;SUGAR;;;
